remove_blur_effect,final_train_loss,final_val_loss,final_val_accuracy,final_lambdahat,learning_coeff_at_blur_removal,train_loss_at_blur_removal,val_loss_at_blur_removal,val_accuracy_at_blur_removal
0,0.009900808351917091,0.5080199729010557,88.81,5434.74072265625,-73.98302459716797,2.112791007284618,1.8198549102066428,34.65
40,0.010896188947741333,0.5758566468194791,87.06,5588.03857421875,1542.7239990234375,0.9551726096426435,1.7241091234668804,46.83
80,0.013416189741899433,0.7131678173021906,83.9,5824.58837890625,1769.9759521484375,0.6539903016727598,1.7421590465648917,50.21
120,0.019141993420484386,0.8934582428188081,80.12,5736.66943359375,3713.70556640625,0.3554816583690741,2.9345114527234606,43.74
160,0.025546262872910314,0.9887010865150743,77.8,5985.1875,4640.8173828125,0.13773510864723826,2.468449015526255,49.74
200,0.0349375331962524,0.9815758853960949,77.53,6082.8515625,4701.42529296875,0.0673080592766366,2.525290529439404,51.28
240,0.04275104369613273,0.9962857515568946,77.33,6073.7548828125,5777.2705078125,0.041004590364411245,2.2183594005123064,55.11
280,0.05892860946898132,1.0026317874717106,77.62,6139.890625,5954.20703125,0.036615554346343324,2.3513299893042086,53.66
320,0.0824323026969543,1.0261783337896797,77.18,5964.12109375,5183.4921875,0.03588006675214795,2.5115764839634016,51.8
360,0.11543093966272519,1.0045753455465767,77.3,5839.22607421875,5504.59228515625,0.037343392015823054,2.413244606962629,53.33
400,0.15214715135948317,1.0135418072247961,77.02,5912.703125,5138.85888671875,0.042123491233905484,2.6639481911993332,50.53
440,0.17971640423683408,1.0741244934167071,76.3,5364.3046875,5497.34521484375,0.037221703316320846,2.372240578293041,52.76
480,0.0407117147905552,2.178419116955654,56.19,5514.7880859375,,,,
